id,title,year,in_degree_centrality,pagerank,betweenness_centrality,community,citation_count
1091,Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,2013,0.0,0.0002790487185283924,0.0,0,1
1388,Further Results on Independence in Direct-Product Graphs.,2000,0.0007961783439490446,0.0005163360194555939,0.0,1,1
24781,Setting up an Effective Information Security Awareness Programme,2007,0.005573248407643313,0.0019042716231755846,0.0,2,10
129505,Improving the optimal bounds for black hole search in rings,2011,0.005573248407643313,0.0018619618518050777,0.0,3,10
431092,Fault-Tolerant exploration of an unknown dangerous graph by scattered agents,2012,0.0007961783439490446,0.0003265061787138327,0.0,3,5
770946,Conceptualising the Influence of Tacit Knowledge in Security Risk Management Activities.,2006,0.0,0.0002790487185283924,0.0,2,0
852874,A Spatial Logic based on Regions and Connection.,1992,0.9848726114649682,0.23179322031786426,0.0,4,1709
875060,Spatial reasoning in RCC-8 with Boolean region terms,2000,0.02786624203821656,0.00257266688728055,0.0017701544621947542,5,53
1823722,Assessing similarities of qualitative spatio-temporal relations,2012,0.0,0.0002790487185283924,0.0,6,2
2282960,Querying Vague Spatial Information in Geographic Data Warehouses,2011,0.0,0.0002790487185283924,0.0,14,4
5053679,Topological relations between regions with holes,1994,0.03184713375796178,0.004924194250424284,0.00012456936448456278,6,213
7501392,Towards a formalization of social spaces for socially aware robots,2011,0.0,0.0002790487185283924,0.0,4,16
13917438,"A Logic for Order of Magnitude Reasoning with Negligibility, Non-closeness and Distance",2007,0.002388535031847134,0.00044818588458290387,3.70069615381362e-07,8,11
14437913,Situation Awareness in Synthetic Environments : Towards a Computational Model,2005,0.0,0.0002790487185283924,0.0,9,0
14528253,Cognitive adequacy of topological consistency measures,2011,0.0015923566878980893,0.0003325709664454471,2.1146835164649258e-07,6,3
15321835,Topological representation of precontact algebras,2005,0.0015923566878980893,0.00038284877046542966,6.159770985817119e-06,5,14
16484804,Wayfinding choremes - conceptualizing wayfinding and route direction elements.,2004,0.0015923566878980893,0.0003370897275440533,2.9024786507594128e-05,9,46
17400551,Adapting Spatial and Temporal Cases,2012,0.005573248407643313,0.0006982274435358264,0.00035960783661065333,4,17
24225937,From images to bodies: modelling and exploiting spatial occlusion and motion parallax,2001,0.02070063694267516,0.002309404597167952,0.0004923734564748409,10,48
24399478,Natural-Language Spatial Relations Between Linear and Areal Objects: The Topology and Metric of English- Language Terms *,1998,0.02388535031847134,0.0020853803074203222,0.00021398745958310257,6,140
24842613,A size-based qualitative approach to the representation of spatial granularity,2007,0.007165605095541401,0.0008154224505292589,0.00015368923137978454,4,20
29365515,Proof Theory of a Multi-Lane Spatial Logic,2013,0.0015923566878980893,0.00047277237429919124,0.0,8,11
33576187,Spatial Reasoning with Integrated Qualitative-Metric Fuzzy Constraint Networks,2010,0.0,0.0002790487185283924,0.0,4,1
34288917,The Theory of Cognitive Prism-Recognizing Variable Spatial Environments.,2006,0.0,0.0002790487185283924,0.0,4,0
37834059,"Physical Objects, Identity and Vagueness.",2002,0.0031847133757961785,0.0005434252090483866,0.00042082484938835314,5,14
37864808,Incremental semi-automatic correction of misclassified spatial objects,2011,0.0,0.0002790487185283924,0.0,4,2
38126560,On the explicit and implicit spatiotemporal architecture of narratives of personal experience,2011,0.0,0.0002790487185283924,0.0,9,5
42931571,QUALITATIVE SPATIAL REASONING VIA 3-VALUED HETEROGENEOUS LOGIC,2009,0.0,0.0002790487185283924,0.0,4,0
43631183,Solving minimal constraint networks in qualitative spatial and temporal reasoning,2012,0.004777070063694268,0.00044714315486723416,7.861081027823228e-05,13,6
44375727,Event Matching Using Semantic and Spatial Memories,2013,0.0,0.0002790487185283924,0.0,4,0
46726022,Combining Cardinal Direction Relations and Relative Relations in QSR.,2004,0.0007961783439490446,0.00029644019829077776,4.504275890070292e-06,12,1
48946123,A logic-based algorithm for image sequence interpretation and anchoring,2003,0.003980891719745223,0.0004907686858303704,7.189923955980748e-06,10,8
49052350,What OWL Has Done for Geography and Why We Don't Need it to Map Read.,2006,0.0,0.0002790487185283924,0.0,6,9
50046293,Situation prediction nets: playing the token game for ontology-driven situation awareness,2010,0.0015923566878980893,0.00031118455395839944,1.9669074183500554e-05,9,6
52151810,"A Model for Qualitative Spatial Reasoning Combining Topology, Orientation and Distance.",2007,0.0,0.0002790487185283924,0.0,9,4
52730480,Judgements about spatio-temporal relations,2002,0.0007961783439490446,0.000284321769660108,4.7580379120460827e-07,14,2
54888278,How to answer yes/no spatial questions using qualitative reasoning?,2012,0.0007961783439490446,0.0003185966020162593,0.0,9,7
55637898,A Vocabulary of Topological and Containment Relations for a Practical Biological Ontology,2013,0.0015923566878980893,0.0003553726101320428,5.459319656156735e-05,6,6
55963985,Qualitative Representations of Extended Spatial Objects in Sketch Maps,2014,0.0015923566878980893,0.00035044049826744546,0.00012068723465175874,12,5
